Job,Total Compensation
Nurse Practitioner,147122.02
Lieutenant 3,214203.24
Truck Driver,37180.87
Executive Secretary 1,105802.43
Patient Care Assistant,79914.06
Project Manager 1,60818.63
Lighting Fixture Maint Worker,89359.5
Police Officer 3,174626.08
Transit Operator,116033.26
Electrical Line Worker,139667.78
"Captain, Fire Suppression",258953.29
Senior Eligibility Worker,101830.73
Police Cadet,22532.04
Electronic Maintenance Tech,158287.91
Dental Aide,93334.52
Administrative Services Mgr,37510.39
Deputy Sheriff,165855.54
Sergeant 3,167827.01
General Laborer,16734.81
Legal Secretary 1,114721.19
Administrative Analyst,124753.83
Clerk,83151.69
Registered Nurse,202528.05
Deputy Sheriff,183311.67
Medical Evaluations Assistant,88355.05
Transit Operator,109806.45
Social Work Supervisor,130172.05
Sr Environmental Spec,144301.3
IS Engineer-Journey,161786.68
"Stdntdsgntrain1, Arch/Eng/Plng",19483.69
Planner 5,63467.37
Transit Operator,53569.47
Eng/Arch/Landscape Arch Sr,225178.19
General Laborer,22029.38
Transit Operator,143574.94
Library Page,47809.0
Medical Records Technician,105482.09
Accountant III,119188.09
Transit Operator,123960.74
Parking Control Officer,103142.79
Deputy Sheriff (SFERS),113742.99
Special Nurse,22616.69
Senior Eligibility Worker,95746.8
Library Page,38510.28
Publ Svc Aide-Asst To Prof,25237.74
Registered Nurse,27139.6
Registered Nurse,154714.08
Custodian,85325.03
Employment & Training Spec 3,103140.92
Custodian,73127.19
Senior Administrative Analyst,141902.48
Custodian,102238.16
Senior Management Assistant,131106.21
Police Officer 3,162971.14
Truck Driver,99032.6
Patient Care Assistant,100222.77
Transcriber Typist,80218.13
Engineer,265545.0
Benefits Technician,95286.82
Payroll Clerk,107204.58
Personnel Analyst,104793.14
"Brd Comm Mbr, M=$200/Mtg",12449.21
Engineer/Architect Principal,278124.78
Senior Clerk,82807.96
Transit Operator,109907.72
Deputy Sheriff,56706.91
Public Svc Aide-Public Works,17346.51
Police Officer 3,185127.03
Nurse Practitioner,61388.29
Police Officer 3,161275.99
Firefighter,190614.24
Court Reporter,158979.27
Public Safetycomm Disp,218806.55
Registered Nurse,24208.82
Sergeant 3,206591.1
Electronic Maintenance Tech,115724.32
Chief Building Inspector,24108.09
Auto Body&Fender Wrk Asst Sprv,117177.45
Executive Secretary 1,30378.72
Home Health Aide,78908.88
Employee Assistance Counselor,37437.21
Senior Eligibility Worker,87591.14
Automotive Body & Fender Wrk,119565.67
Senior Eligibility Worker,90551.02
Transit Operator,66603.84
Employment & Training Spec 3,64257.81
Firefighter,127372.47
Registered Nurse,30856.58
Dep Dir II,198601.73
Park Section Supervisor,120458.26
Health Worker 3,98713.06
Public Svc Aide-Public Works,19012.35
Mayoral Staff XIV,39947.02
EEO Programs Specialist,122635.86
IS Business Analyst-Principal,149027.85
Transit Operator,56477.27
Emp & Training Spec 2,117802.66
Asst Engr,130941.11
Firefighter,180784.9
"Stationary Eng, Sewage Plant",143960.99
Sheriff's Sergeant,207306.6
Recreation Coordinator,13190.48
Food Service Worker,29814.09
Senior Administrative Analyst,76640.78
Automotive Service Worker,25566.84
"Stationary Eng, Sewage Plant",157260.26
Registered Nurse,169968.56
Lieutenant 3,243008.74
Window Cleaner Supervisor,121877.45
Police Officer 3,172247.68
Deputy Sheriff,200092.8
Librarian 1,65275.65
Transit Operator,86557.0
Heavy Equipment Ops Sprv,70573.28
Senior Collections Officer,109144.03
Senior Eligibility Worker,112453.4
Senior Clerk Typist,17597.98
Patient Care Assistant,114624.47
Senior Food Service Worker,77941.12
Health Educator,74782.43
"Operating Engineer, Universal",139668.3
Senior Clerk Typist,95469.65
Public Svc Aide-Public Works,19461.11
Public Health Nurse,152011.0
Sergeant 3,141024.09
Police Officer 3,183099.48
Executive Secretary 1,108577.31
IS Engineer-Senior,142767.04
Nurse Manager,215511.03
Registered Nurse,195857.64
Principal Clerk,108692.95
Sr Environmental Spec,104065.52
Deputy Sheriff,159243.85
Clerk,97442.85
Library Technical Assistant 1,107474.37
Electrician,137964.46
Special Nurse,79263.07
Chief Stationary Engineer,107699.34
Public Svc Aide-Public Works,24589.01
Transit Operator,113289.42
Registered Nurse,186763.97
Sr Community Devl Spc 1,127291.84
Bldgs & Grounds Maint Supt,212378.81
Transit Operator,116942.26
Plumber,19653.19
Engineer,185266.54
Occupational Therapist,155559.33
Stationary Engineer,115483.81
Transit Supervisor,41506.55
Police Officer 3,201251.71
PS Aide To Prof,53963.03
Patient Accounts Supervisor,15952.36
Diagnostic Imaging Tech I,139026.38
Police Officer 2,141470.79
Senior Storekeeper,94500.47
Transit Operator,151650.71
Special Nurse,34384.77
Health Worker 3,68965.44
Transit Operator,75221.69
Public Svc Aide-Public Works,16442.34
Medical Evaluations Assistant,96138.78
Management Assistant,98413.5
Electrical Transit System Mech,115080.83
Public Service Trainee,16780.69
Senior Physical Therapist,101097.46
Pr Administrative Analyst,112751.51
Supv Chemist,106407.52
Transit Operator,74592.99
Planner 5,47982.15
Senior Clerk,66337.31
Document Examiner Technician,107503.2
Patient Care Assistant,84229.37
IT Operations Support Admin I,85669.23
Firefighter,210162.52
Diagnostic Imaging Tech I,42567.35
Sr Transit Information Clerk,101759.04
Nurse Practitioner,253843.95
"Director, Fiscal Services",218174.64
Dept Head II,243096.86
Chemist I/II,128135.38
Safety Analyst,143593.46
Dep Dir III,258402.72
Patient Care Assistant,77122.88
Environmental Health Inspector,127357.01
Patient Accounts Clerk,115714.43
Transit Operator,121253.01
Parking Control Officer,53325.48
Transit Operator,75853.88
Transit Supervisor,163282.58
Registered Nurse,170680.22
Library Page,34738.35
Eligibility Worker Supervisor,117425.0
Health Worker 3,98282.11
Special Nurse,69541.72
Asst Chf Victim/Wit Invstgtor,43971.68
"Stationary Eng, Sewage Plant",144709.66
Librarian 1,124906.13
Administrative Analyst,125188.39
Electrician,127830.87
Employee Relations Representat,49417.83
Public Svc Aide-Public Works,28068.63
Assoc Engineer,125882.87
Museum Guard,20594.28
Deputy Sheriff,163143.28
Customer Service Agent,109730.47
Health Worker 2,26554.41
Museum Guard,91603.85
Manager II,73229.88
Manager I,191567.5
Manager IV,221803.78
Clerk,84192.94
Account Clerk,87155.67
Program Specialist,78280.51
Medical Evaluations Assistant,92536.61
IS Project Director,194224.2
Pattern Maker,124805.06
Manager I,184716.12
Transit Operator,116869.77
Firefighter,236928.44
Medical Evaluations Assistant,63601.12
Firefighter,189553.07
General Laborer,59775.53
Sr Fare Collections Receiver,112247.4
Physician Specialist,277858.75
Transit Operator,22619.83
Physician Assistant,199789.26
Transit Operator,111172.06
Dep Dir V,337135.63
Librarian 2,46399.12
Senior Clerk,79385.14
Dep Dir II,193936.33
Senior Clerk,79458.82
Accountant II,116920.69
Pr Administrative Analyst,120962.64
Wire Rope Cable Maint Mechanic,180269.74
Traffic Signal Electrician,151372.2
Custodian,88967.69
Patient Care Assistant,67286.41
Transit Operator,56577.44
Firefighter,188861.72
Transit Operator,117439.29
PS Aide To Prof,53531.32
"Head Atty, Civil & Criminal",50241.0
Gardener,84319.3
Gardener,97922.1
Attorney (Civil/Criminal),153259.04
Transit Operator,75437.46
Special Nurse,71498.18
Patient Care Assistant,80393.1
Firefighter,218103.37
"Member, Board Of Supervisors",151484.02
General Laborer,106093.28
Assistant Retirement Analyst,116962.43
Police Officer 3,185636.25
Administrative Analyst,109740.29
Engineer,202089.28
Roofer,99590.6
Truck Driver,19200.26
Health Worker 2,67551.03
Patient Care Assistant,100250.43
Public Health Nurse,193319.69
Housekeeper/Food Service Clnr,55098.67
Police Officer,120185.46
Custodian,92377.46
Recreation Leader,18335.88
Carpenter,114561.58
Human Services Technician,71554.54
Parking Control Officer,73369.47
Junior Management Assistant,16092.5
Performance Analyst II,124468.31
Senior Clerk,74654.72
Registered Nurse,119798.79
Electronic Maintenance Tech,174771.03
Pr Administrative Analyst,59613.33
Pr Administrative Analyst,146401.55
Police Officer,17231.26
Firefighter,193644.69
Custodian,89576.49
Deputy Sheriff,169502.01
Sr Personal Property Auditor,138938.76
Secretary 2,92560.35
Senior Eligibility Worker,94617.03
Eng/Arch/Landscape Arch Sr,218903.99
General Laborer,90179.34
Transit Operator,105656.9
Protective Services Worker,141186.19
Recreation Leader,21895.7
Asst Engr,134347.01
Gardener,96608.85
Nursing Assistant,142719.97
IS Engineer-Senior,182288.63
Accountant Intern,26766.36
Emp & Training Spec 4,123731.51
Police Officer 3,177479.75
"Lieutenant, Fire Suppression",228991.57
Comm Pol Svcs Aide Supervisor,143606.13
Custodian,95726.86
Clerk,81451.34
Transit Operator,126969.2
IT Operations Support Admn III,31619.16
Special Nurse,43473.49
Gardener,97035.86
Nutritionist,94668.72
Deputy Probation Officer,126562.84
Maintenance Scheduler,45441.26
Transit Operator,48590.36
Protective Services Worker,71872.9
Psychiatric Social Worker,114779.93
Senior Clerk Typist,92003.37
Transit Operator,46827.27
Special Nurse,137188.19
Manager IV,219508.04
Junior Engineer,114932.98
Junior Administrative Analyst,127202.07
Sheriff's Captain,230245.0
Publ Svc Aide-Asst To Prof,20168.63
Junior Administrative Analyst,64014.75
Public Svc Aide-Public Works,21736.78
Deputy Sheriff,172750.35
Police Officer 3,258430.55
Transit Operator,79401.76
Environmental Spec,125648.13
Medical Evaluations Assistant,28851.7
Transit Operator,122810.18
Transit Operator,66614.39
Transit Operator,79071.83
Sr Payroll & Personnel Clerk,109739.4
Child Support Officer II,113976.73
Police Officer,184036.36
Construction Inspector,143504.13
Deputy Sheriff,151488.53
Chief Clerk,118567.56
Community Police Services Aide,113833.68
Dep Dir V,284225.11
Police Officer,126055.32
IS Business Analyst,144872.36
Senior Eligibility Worker,92207.82
Communications Dispatcher 2,115979.82
IT Operations Support Admn III,68914.21
Deputy Chief 3,360717.9
Senior Clerk Typist,94904.81
Utility Plumber Supervisor 1,134282.68
Publ Svc Aide-Asst To Prof,29354.07
Health Worker 2,82336.76
Agricultural Inspector,100130.0
Special Nurse,57164.68
Accountant IV,158212.81
Acupuncturist,114651.25
Firefighter,215886.91
Sr Psychiatric Social Worker,139476.1
Electrical Line Helper,101601.22
Transit Operator,116237.2
Psychiatric Technician,111091.06
Food Service Worker,54182.62
Dep Dir IV,268585.14
Special Nurse,52855.72
Deputy Sheriff,165525.27
Transit Operator,142749.91
Project Manager 1,173039.59
Junior Administrative Analyst,38114.86
Parts Storekeeper,110636.08
Construction Inspector,60593.84
Junior Administrative Analyst,82640.25
Police Officer 3,133004.38
Legal Assistant,92215.32
Registered Nurse,208912.08
Architectural Assistant 2,53395.6
Clerk,71328.65
Communications Systems Tech,189929.85
Lieutenant 3,242112.56
Airport Security ID Technician,33635.14
Porter,51754.74
Elections Clerk,22842.77
Attorney (Civil/Criminal),251087.57
Court Reporter,163044.33
Maintenance Planner,125901.46
Transit Operator,122238.05
Sheriff's Sergeant,177893.01
Health Program Coordinator 1,96410.24
IS Business Analyst-Senior,103378.98
Custodian,87289.57
General Laborer,83308.65
Stdntdsgn Train2/Arch/Eng/Plng,46322.1
Assoc Engineer,162560.4
Assoc Engineer,149276.58
Custodian,89645.54
Senior Clerk Typist,71803.75
Management Assistant,96837.42
Registered Nurse,196740.31
Public Svc Aide-Public Works,29466.6
"Claims Investigator, Ca",147410.2
General Laborer Supervisor 1,114840.91
Registered Nurse,230821.2
"Investigator,Taxi & Accesssvcs",125647.39
Health Worker 2,67089.3
Electric Motor Repairer,149848.09
Transit Planner III,104370.85
Clinical Psychologist,62807.52
Junior Engineer,61691.36
Automotive Body & Fender Wrk,127228.8
Health Educator,133169.56
Da Investigative Assist,111491.31
Psychiatric Technician,121735.01
Bldg & Grounds Maint Sprv,46134.55
Benefits Technician,94442.01
Transit Operator,47103.16
Pharmacy Technician,103597.3
Police Officer 2,206719.82
Personnel Analyst,125140.82
Junior Engineer,36992.14
Senior Management Assistant,123387.23
Electronic Maintenance Tech,199685.16
Chief Clerk,121959.67
Parking Control Officer,84784.89
Police Officer 3,167682.33
Electrical Transit System Mech,154816.51
Police Officer,24228.86
Deputy Sheriff,185971.69
Police Officer 3,172207.38
Registered Nurse,155619.36
Transit Operator,78124.12
Attorney (Civil/Criminal),137012.06
Librarian 1,92679.94
Clerk,77397.51
Deputy Sheriff,175495.25
Transit Operator,135500.08
Deputy Sheriff,155858.81
Public Svc Aide-Public Works,36095.82
Pr Administrative Analyst,164645.13
Transit Operator,43172.91
Public Safetycomm Disp,116390.23
Recreation Leader,17678.11
Transit Operator,73681.98
Police Officer 3,56049.7
Central Processing & Dist Tech,26052.06
Police Officer,169478.23
Janitorial Svcs Asst Sprv,116085.28
Transit Operator,125685.54
IS Business Analyst-Assistant,91646.77
Transit Operator,116264.39
Employment & Training Spec 3,119976.0
Transit Operator,114795.63
Materials Coordinator,163762.47
Prpl Permit And Citation Clerk,120331.86
Transit Operator,120547.68
Carpenter Supervisor 1,150048.98
Da Investigative Assist,63460.11
Personnel Analyst,84931.45
Manager VI,250789.95
Transit Car Cleaner,198157.0
Health Care Billing Clerk 2,104178.89
Patient Accounts Clerk,65975.49
Health Program Coordinator 2,129362.38
Senior Administrative Analyst,137646.85
Psychiatric Social Worker,134007.63
Transit Operator,131107.18
Senior Clerk,61406.83
Deputy Sheriff,216848.35
IS Engineer-Journey,153035.01
Porter,80900.61
Arts Program Assistant,103745.58
Assistant Health Educator,100585.65
Custodian,16864.19
Custodial Assistant Supervisor,26417.78
HSA Social Worker,80388.23
Sewage Treatment Plant Supt,115774.9
Clerk,38393.3
Engineer/Architect Principal,256748.68
Police Officer 3,214382.49
Automotive Mechanic,164188.0
Communications Dispatcher 2,16800.03
Administrative Analyst,125218.8
Sergeant 3,69684.34
Welfare Fraud Investigator,27295.89
Program Specialist,132280.18
Testing Technician,14612.7
Patient Care Assistant,140755.94
Patient Svcs Finance Tech,86335.77
Physician Specialist,34724.06
Pr Administrative Analyst,76203.75
Court Staff Attorney II,174423.75
Senior Eligibility Worker,47649.61
Junior Engineer,125922.39
Food Service Worker,88077.25
Special Nurse,132199.61
Medical Evaluations Assistant,87720.37
Communications Director,194928.08
Psychiatric Social Worker,113041.82
Senior Personnel Clerk,103032.3
Deputy Sheriff,170232.54
Public Health Nurse,66256.71
Principal Account Clerk,112287.99
Museum Guard,25649.65
Transit Operator,118816.62
Electronic Maintenance Tech,151619.65
Junior Administrative Analyst,81678.58
Custodian,85194.55
Electrical Transit System Mech,121972.03
IT Operations Support Admin II,105371.79
Publ Svc Aide-Asst To Prof,63172.51
Carpenter Supervisor 1,148839.09
Parking Enforcement Admin,146073.07
Health Program Coordinator 3,143223.95
Transit Car Cleaner,157111.27
Medical Evaluations Assistant,110650.81
Administrative Engineer,166751.54
Transit Operator,57854.6
IS Programmer Analyst-Senior,28252.04
Planner 3,60559.64
Engineer/Architect Principal,258377.56
Sr Payroll & Personnel Clerk,120232.58
Firefighter,214149.92
Food Service Worker,37361.08
Electronic Maintenance Tech,151465.88
Medical Social Worker,134384.94
Public Safetycomm Disp,121119.43
Electrical Line Helper,35836.67
Clinical Psychologist,151530.27
Transit Operator,123048.93
Public Service Trainee,18170.55
Track Maintenance Worker,103608.95
Police Officer,124553.68
Worker's Compensation Adjuster,126013.31
Museum Sec Supv,116610.69
Special Nurse,41373.5
Engineering Associate 1,41010.35
Library Technical Assistant 1,95801.88
Laboratory Technician II,92100.2
"Captain, Fire Suppression",247801.36
Automotive Machinist Sprv 1,149928.44
Police Officer,16342.1
PS Aide Health Services,59440.24
Firefighter,132564.34
Senior Physician Specialist,162655.1
Junior Management Assistant,25735.12
IT Operations Support Admin V,172484.09
Health Worker 3,23983.94
Dep Dir III,246854.72
Principal Clerk,102187.71
Employment & Training Spec 3,104601.37
Sr Payroll & Personnel Clerk,59923.69
Senior Eligibility Worker,85720.74
Construction Inspector,188973.59
Special Nurse,34479.0
"Captain, Fire Suppression",111589.82
Special Nurse,68154.17
Transit Supervisor,127754.52
Recreation Leader,19902.53
Special Nurse,22427.69
Police Officer 2,202372.54
Manager IV,218390.83
Stationary Engineer,147801.59
Community Development Spec,80234.85
Senior Eligibility Worker,130646.26
Registered Nurse,112721.3
Sr Community Dev Spec 2,139569.34
Recreation Leader,17219.34
Library Technical Assistant 1,82973.27
Transit Operator,74593.8
"Stdntdsgntrain1, Arch/Eng/Plng",26176.85
General Laborer,98070.46
Publ Svc Aide-Asst To Prof,16395.61
Registered Nurse,47437.35
Parking Control Officer,43596.28
Library Page,31713.1
Sr Psychiatric Social Worker,147958.44
Transit Fare Inspector,92568.37
Asst Engr,122083.52
Registered Nurse,40187.72
Senior Health Educator,140091.64
Transit Operator,86080.49
General Laborer,59728.29
Transit Operator,33344.51
Senior Management Assistant,132473.9
Deputy Sheriff,157493.77
Library Technical Assistant 1,54308.46
